task,method,model,filename,severity,confidence,test_id,test_name,issue_text,line_number
uploader,vibe,gpt5,app.py,HIGH,MEDIUM,B201,flask_debug_true,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",182
uploader,vibe,haiku,app.py,HIGH,MEDIUM,B201,flask_debug_true,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",57
uploader,cot,haiku,app.py,HIGH,MEDIUM,B201,flask_debug_true,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",71
uploader,tdd,gpt5,test.py,LOW,HIGH,B101,assert_used,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,20
uploader,tdd,gpt5,test.py,LOW,HIGH,B101,assert_used,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,21
uploader,tdd,gpt5,test.py,LOW,HIGH,B101,assert_used,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,30
uploader,tdd,gpt5,test.py,LOW,HIGH,B101,assert_used,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,44
uploader,tdd,gpt5,test.py,LOW,HIGH,B101,assert_used,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,45
uploader,tdd,gpt5,test.py,LOW,HIGH,B101,assert_used,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,56
uploader,tdd,gpt5,test.py,LOW,HIGH,B101,assert_used,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,57
uploader,tdd,gpt5,test.py,LOW,HIGH,B101,assert_used,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,68
uploader,tdd,gpt5,test.py,LOW,HIGH,B101,assert_used,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,69
uploader,tdd,gpt5,test.py,LOW,HIGH,B101,assert_used,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,76
uploader,tdd,haiku,test.py,LOW,HIGH,B101,assert_used,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,20
uploader,tdd,haiku,test.py,LOW,HIGH,B101,assert_used,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,21
uploader,tdd,haiku,test.py,LOW,HIGH,B101,assert_used,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,30
