"Information exposure through an exception","Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Stack trace information""|""relative:///routes/upload.py:48:26:48:26""]] flows to this location and may be exposed to an external user.","/routes/upload.py","49","24","49","40"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///routes/upload.py:56:18:56:25""]].","/routes/upload.py","65","12","65","20"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///routes/upload.py:56:18:56:25""]].","/routes/upload.py","65","38","65","46"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///routes/upload.py:56:18:56:25""]].","/routes/upload.py","68","12","68","20"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///routes/upload.py:56:18:56:25""]].","/routes/upload.py","73","13","73","21"
"Unused import","Import is not required as it is not used","recommendation","Import of 'struct' is not used.","/utils/file_validation.py","1","1","1","13"
"Unused import","Import is not required as it is not used","recommendation","Import of 'secure_filename' is not used.","/utils/file_validation.py","4","1","4","42"
"Unused import","Import is not required as it is not used","recommendation","Import of 'BytesIO' is not used.","/routes/upload.py","4","1","4","22"
"Unused import","Import is not required as it is not used","recommendation","Import of 'secure_filename' is not used.","/routes/upload.py","7","1","7","42"
"Unused local variable","Local variable is defined but not used","recommendation","Variable csrf is not used.","/app.py","26","5","26","8"
